"Factor_level","B","CI_lower","CI_upper","N","Min","Max","Analysis"
"Monandry",0.13,-0.2,0.43,49,1,"       2.00","Mating_frequency_Caste"
"Facultative polyandry",-0.02,-0.49,0.41,30,1,"       2.00",""
"Obligate polyandry",0.56,0.13,0.96,27,1,"       4.00",""
"Monogyny",0.28,0.07,0.47,121,1,"       4.00","Queen_number_Caste"
"Facultative polygyny",-0.11,-0.38,0.15,82,1,"       4.00",""
"Obligate polygyny",-0.18,-0.77,0.36,13,1,"       2.00",""
"Monandry",0.32,0.17,0.46,45,0.01,"       0.47","Mating_frequency_Size_variation"
"Facultative polyandry",0.09,0.02,0.16,30,0,"       0.77",""
"Obligate polyandry",0.16,0.08,0.25,30,0.04,"       0.58",""
"Monogyny",0.38,0.27,0.5,60,0,"       0.58","Queen_number_Size_variation"
"Facultative polygyny",-0.01,-0.07,0.05,47,0.01,"       0.47",""
"Obligate polygyny",-0.06,-0.19,0.08,6,0.03,"       0.30",""
"Monandry",0.3,0.23,0.36,34,0.01,"       0.32","Mating_frequency_Size_variation_monomorphic"
"Facultative polyandry",0.06,0,0.13,22,0,"       0.55",""
"Obligate polyandry",0.03,-0.06,0.13,9,0.04,"       0.23",""
"Monogyny",0.35,0.28,0.41,36,0,"       0.55","Queen_number_Size_variation_monomorphic"
"Facultative polygyny",-0.01,-0.07,0.06,36,0.01,"       0.43",""
"Obligate polygyny",-0.07,-0.22,0.08,3,0.03,"       0.12",""
"Monandry",2.77,1.65,3.87,49,20,"  300000.00","Mating_frequency_Colony_size"
"Facultative polyandry",0.69,0.19,1.17,31,13.08,"  500000.00",""
"Obligate polyandry",1.35,0.73,1.93,33,35.62," 8018400.00",""
"Monandry",0.18,-0.03,0.42,48,1,"      30.00","Mating_frequency_Queen_number"
"Facultative polyandry",0.04,-0.11,0.18,32,1,"      23.60",""
"Obligate polyandry",-0.15,-0.32,0.01,33,1,"       8.00",""
"Monogyny",2.87,2.03,3.66,121,8,"14750000.00","Queen_number_Colony_size"
"Facultative polygyny",-0.02,-0.34,0.25,81,12.08,"  500000.00",""
"Obligate polygyny",0.03,-0.57,0.59,13,54.5,"  300000.00",""
