"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_SV",0.5,0.11,0.27,0.72,"One","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"One","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_MF",0.97,0.31,0.4,1.82,"One","NCuniform_stem"
"PG_affects_MF",-2.22,1.65,-10.36,0.22,"One","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"SV_affects_CS",0.35,0.08,0.19,0.53,"Two","NCuniform_stem"
"CS_affects_MF",0.97,0.31,0.38,1.89,"Two","NCuniform_stem"
"PG_affects_MF",-2.22,1.65,-11.17,-0.12,"Two","NCuniform_stem"
"CS_affects_SV",0.43,0.11,0.21,0.65,"Three","NCuniform_stem"
"MF_affects_SV",0.44,0.24,-0.05,0.87,"Three","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_MF",0.97,0.31,0.4,1.89,"Three","NCuniform_stem"
"PG_affects_MF",-2.22,1.65,-14.22,0.04,"Three","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_stem"
"MF_affects_SV",0.74,0.24,0.23,1.17,"Four","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_MF",0.97,0.31,0.35,1.73,"Four","NCuniform_stem"
"PG_affects_MF",-2.22,1.65,-12.71,0.09,"Four","NCuniform_stem"
"CS_affects_SV",0.49,0.11,0.29,0.68,"One","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"One","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_MF",0.97,0.31,0.43,1.78,"One","NCuniform_crown"
"PG_affects_MF",-2.32,1.75,-10.18,0.12,"One","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"SV_affects_CS",0.33,0.08,0.18,0.5,"Two","NCuniform_crown"
"CS_affects_MF",0.97,0.31,0.37,1.76,"Two","NCuniform_crown"
"PG_affects_MF",-2.32,1.75,-12.27,0.04,"Two","NCuniform_crown"
"CS_affects_SV",0.42,0.11,0.21,0.68,"Three","NCuniform_crown"
"MF_affects_SV",0.41,0.25,-0.04,0.93,"Three","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_MF",0.97,0.31,0.43,1.83,"Three","NCuniform_crown"
