"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_SV",0.51,0.11,0.3,0.72,"One","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"One","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_MF",0.29,0.09,0.13,0.48,"One","NCuniform_stem"
"PG_affects_MF",-0.15,0.07,-0.28,-0.01,"One","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"SV_affects_CS",0.35,0.08,0.19,0.5,"Two","NCuniform_stem"
"CS_affects_MF",0.29,0.09,0.11,0.44,"Two","NCuniform_stem"
"PG_affects_MF",-0.15,0.07,-0.29,-0.03,"Two","NCuniform_stem"
"CS_affects_SV",0.47,0.12,0.23,0.74,"Three","NCuniform_stem"
"MF_affects_SV",0.13,0.13,-0.12,0.35,"Three","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_MF",0.29,0.09,0.12,0.47,"Three","NCuniform_stem"
"PG_affects_MF",-0.15,0.07,-0.28,-0.03,"Three","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_stem"
"MF_affects_SV",0.29,0.13,0.05,0.54,"Four","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_MF",0.29,0.09,0.1,0.46,"Four","NCuniform_stem"
"PG_affects_MF",-0.15,0.07,-0.29,-0.03,"Four","NCuniform_stem"
"CS_affects_SV",0.5,0.11,0.29,0.72,"One","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"One","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_MF",0.26,0.09,0.1,0.42,"One","NCuniform_crown"
"PG_affects_MF",-0.15,0.06,-0.27,-0.02,"One","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"SV_affects_CS",0.33,0.08,0.17,0.49,"Two","NCuniform_crown"
"CS_affects_MF",0.26,0.09,0.09,0.44,"Two","NCuniform_crown"
"PG_affects_MF",-0.15,0.06,-0.28,-0.02,"Two","NCuniform_crown"
"CS_affects_SV",0.47,0.12,0.22,0.69,"Three","NCuniform_crown"
"MF_affects_SV",0.11,0.13,-0.17,0.39,"Three","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_MF",0.26,0.09,0.1,0.42,"Three","NCuniform_crown"
"PG_affects_MF",-0.15,0.06,-0.27,-0.01,"Three","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_crown"
"MF_affects_SV",0.28,0.13,0.04,0.55,"Four","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_MF",0.26,0.09,0.1,0.41,"Four","NCuniform_crown"
"PG_affects_MF",-0.15,0.06,-0.27,0,"Four","NCuniform_crown"
"CS_affects_SV",0.52,0.11,0.34,0.74,"One","FBD_stem"
"MF_affects_SV",0,0,0,0,"One","FBD_stem"
"SV_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_MF",0.33,0.09,0.14,0.5,"One","FBD_stem"
"PG_affects_MF",-0.17,0.07,-0.29,-0.05,"One","FBD_stem"
"CS_affects_SV",0,0,0,0,"Two","FBD_stem"
"MF_affects_SV",0,0,0,0,"Two","FBD_stem"
"SV_affects_CS",0.25,0.07,0.11,0.39,"Two","FBD_stem"
"CS_affects_MF",0.33,0.09,0.14,0.49,"Two","FBD_stem"
"PG_affects_MF",-0.17,0.07,-0.3,-0.04,"Two","FBD_stem"
"CS_affects_SV",0.48,0.12,0.22,0.72,"Three","FBD_stem"
"MF_affects_SV",0.11,0.13,-0.17,0.37,"Three","FBD_stem"
"SV_affects_CS",0,0,0,0,"Three","FBD_stem"
"CS_affects_MF",0.33,0.09,0.16,0.51,"Three","FBD_stem"
"PG_affects_MF",-0.17,0.07,-0.29,-0.04,"Three","FBD_stem"
"CS_affects_SV",0,0,0,0,"Four","FBD_stem"
"MF_affects_SV",0.31,0.13,0.05,0.57,"Four","FBD_stem"
"SV_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_MF",0.33,0.09,0.15,0.5,"Four","FBD_stem"
"PG_affects_MF",-0.17,0.07,-0.31,-0.04,"Four","FBD_stem"
"CS_affects_SV",0.5,0.11,0.29,0.7,"One","FBD_crown"
"MF_affects_SV",0,0,0,0,"One","FBD_crown"
"SV_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_MF",0.28,0.09,0.1,0.44,"One","FBD_crown"
