"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","one",3,7,4.29,0.64,19.59,0,1,0.34
"NC uniform stem","three",2,8,1.97,0.74,19.66,0.08,0.96,0.33
"NC uniform stem","two",3,7,4.39,0.62,19.69,0.1,0.95,0.33
"NC uniform stem","four",3,7,18.64,0,33.94,14.36,0,0
"NC uniform crown","two",3,7,3.78,0.71,19.09,0,1,0.46
"NC uniform crown","one",3,7,4.53,0.61,19.83,0.75,0.69,0.32
"NC uniform crown","three",2,8,2.85,0.58,20.55,1.46,0.48,0.22
"NC uniform crown","four",3,7,18.76,0,34.06,14.97,0,0
"FBD stem","two",3,7,3.9,0.69,19.2,0,1,0.56
"FBD stem","one",3,7,5.48,0.48,20.79,1.59,0.45,0.25
"FBD stem","three",2,8,3.75,0.44,21.44,2.25,0.33,0.18
"FBD stem","four",3,7,19.5,0,34.8,15.6,0,0
"FBD crown","two",3,7,2.73,0.84,18.04,0,1,0.45
"FBD crown","one",3,7,3.24,0.78,18.55,0.51,0.78,0.35
"FBD crown","three",2,8,2.02,0.73,19.71,1.67,0.43,0.2
"FBD crown","four",3,7,18.55,0,33.86,15.82,0,0
