"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_CN",1.22,0.3,0.67,1.98,"One","NCuniform_stem"
"MF_affects_CN",0,0,0,0,"One","NCuniform_stem"
"CN_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_MF",1.01,0.31,0.44,2.14,"One","NCuniform_stem"
"PG_affects_MF",-1.25,1.32,-13.85,0.87,"One","NCuniform_stem"
"CS_affects_CN",0,0,0,0,"Two","NCuniform_stem"
"MF_affects_CN",0,0,0,0,"Two","NCuniform_stem"
"CN_affects_CS",0.75,0.19,0.39,1.12,"Two","NCuniform_stem"
"CS_affects_MF",1.01,0.31,0.39,1.97,"Two","NCuniform_stem"
"PG_affects_MF",-1.25,1.32,-13.11,1.32,"Two","NCuniform_stem"
"CS_affects_CN",0.65,0.25,0.25,1.43,"Three","NCuniform_stem"
"MF_affects_CN",1.05,0.56,0.22,2.47,"Three","NCuniform_stem"
"CN_affects_CS",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_MF",1.01,0.31,0.45,2.09,"Three","NCuniform_stem"
"PG_affects_MF",-1.25,1.32,-12.35,0.74,"Three","NCuniform_stem"
"CS_affects_CN",0,0,0,0,"Four","NCuniform_stem"
"MF_affects_CN",1.45,0.59,0.32,2.96,"Four","NCuniform_stem"
"CN_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_MF",1.01,0.31,0.45,2.01,"Four","NCuniform_stem"
"PG_affects_MF",-1.25,1.32,-13.96,1,"Four","NCuniform_stem"
"CS_affects_CN",1.12,0.29,0.61,1.83,"One","NCuniform_crown"
"MF_affects_CN",0,0,0,0,"One","NCuniform_crown"
"CN_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_MF",1.11,0.32,0.51,1.96,"One","NCuniform_crown"
"PG_affects_MF",-1.51,1.49,-11.9,0.81,"One","NCuniform_crown"
"CS_affects_CN",0,0,0,0,"Two","NCuniform_crown"
"MF_affects_CN",0,0,0,0,"Two","NCuniform_crown"
"CN_affects_CS",0.76,0.19,0.42,1.14,"Two","NCuniform_crown"
"CS_affects_MF",1.11,0.32,0.43,2.02,"Two","NCuniform_crown"
"PG_affects_MF",-1.51,1.49,-13.25,0.59,"Two","NCuniform_crown"
"CS_affects_CN",0.96,0.32,0.4,1.72,"Three","NCuniform_crown"
"MF_affects_CN",0.99,0.67,-0.28,2.18,"Three","NCuniform_crown"
"CN_affects_CS",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_MF",1.11,0.32,0.5,1.96,"Three","NCuniform_crown"
"PG_affects_MF",-1.51,1.49,-12.25,0.53,"Three","NCuniform_crown"
"CS_affects_CN",0,0,0,0,"Four","NCuniform_crown"
"MF_affects_CN",1.39,0.58,0.47,2.63,"Four","NCuniform_crown"
"CN_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_MF",1.11,0.32,0.53,2.26,"Four","NCuniform_crown"
"PG_affects_MF",-1.51,1.49,-12.55,0.88,"Four","NCuniform_crown"
"CS_affects_CN",1.23,0.31,0.7,1.97,"One","FBD_stem"
"MF_affects_CN",0,0,0,0,"One","FBD_stem"
"CN_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_MF",1.13,0.33,0,2.22,"One","FBD_stem"
"PG_affects_MF",-1.47,1.44,-12.06,0.5,"One","FBD_stem"
"CS_affects_CN",0,0,0,0,"Two","FBD_stem"
"MF_affects_CN",0,0,0,0,"Two","FBD_stem"
"CN_affects_CS",0.62,0.18,0.25,0.98,"Two","FBD_stem"
"CS_affects_MF",1.13,0.33,0.09,2.27,"Two","FBD_stem"
"PG_affects_MF",-1.47,1.44,-12.49,0.87,"Two","FBD_stem"
"CS_affects_CN",0.87,0.31,0.4,1.62,"Three","FBD_stem"
"MF_affects_CN",1.16,0.63,0.02,2.61,"Three","FBD_stem"
"CN_affects_CS",0,0,0,0,"Three","FBD_stem"
"CS_affects_MF",1.13,0.33,0,2.19,"Three","FBD_stem"
"PG_affects_MF",-1.47,1.44,-13.61,0.78,"Three","FBD_stem"
"CS_affects_CN",0,0,0,0,"Four","FBD_stem"
"MF_affects_CN",1.41,0.58,0.47,2.77,"Four","FBD_stem"
"CN_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_MF",1.13,0.33,0,2.15,"Four","FBD_stem"
"PG_affects_MF",-1.47,1.44,-11.98,0.77,"Four","FBD_stem"
"CS_affects_CN",1.18,0.3,0.63,1.75,"One","FBD_crown"
"MF_affects_CN",0,0,0,0,"One","FBD_crown"
"CN_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_MF",1.11,0.32,0.44,2.13,"One","FBD_crown"
"PG_affects_MF",-1.47,1.47,-13.95,0.72,"One","FBD_crown"
"CS_affects_CN",0,0,0,0,"Two","FBD_crown"
"MF_affects_CN",0,0,0,0,"Two","FBD_crown"
"CN_affects_CS",0.77,0.19,0.35,1.14,"Two","FBD_crown"
"CS_affects_MF",1.11,0.32,0.53,2.16,"Two","FBD_crown"
"PG_affects_MF",-1.47,1.47,-8.7,0.74,"Two","FBD_crown"
"CS_affects_CN",0.89,0.32,0.28,1.55,"Three","FBD_crown"
"MF_affects_CN",1.02,0.65,-0.11,2.29,"Three","FBD_crown"
"CN_affects_CS",0,0,0,0,"Three","FBD_crown"
"CS_affects_MF",1.11,0.32,0.54,2.26,"Three","FBD_crown"
"PG_affects_MF",-1.47,1.47,-11.69,0.62,"Three","FBD_crown"
"CS_affects_CN",0,0,0,0,"Four","FBD_crown"
"MF_affects_CN",1.35,0.58,0.21,2.63,"Four","FBD_crown"
"CN_affects_CS",0,0,0,0,"Four","FBD_crown"
"CS_affects_MF",1.11,0.32,0.51,2.18,"Four","FBD_crown"
"PG_affects_MF",-1.47,1.47,-14.08,0.8,"Four","FBD_crown"
