"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","three",2,8,4.76,0.31,22.36,0,1,0.82
"NC uniform stem","one",3,7,10.62,0.1,25.85,3.49,0.17,0.14
"NC uniform stem","two",3,7,14.13,0.03,29.36,7.01,0.03,0.02
"NC uniform stem","four",3,7,15.66,0.02,30.89,8.54,0.01,0.01
"NC uniform crown","three",2,8,5.14,0.27,22.74,0,1,0.78
"NC uniform crown","one",3,7,10.14,0.12,25.37,2.63,0.27,0.21
"NC uniform crown","four",3,7,15.74,0.02,30.97,8.23,0.02,0.01
"NC uniform crown","two",3,7,23.05,0,38.28,15.54,0,0
"FBD stem","three",2,8,5.05,0.28,22.65,0,1,0.78
"FBD stem","one",3,7,10.59,0.1,25.82,3.17,0.21,0.16
"FBD stem","two",3,7,12.81,0.05,28.04,5.39,0.07,0.05
"FBD stem","four",3,7,17.24,0.01,32.47,9.82,0.01,0.01
"FBD crown","three",2,8,5.53,0.24,23.13,0,1,0.75
"FBD crown","one",3,7,10.4,0.11,25.63,2.5,0.29,0.21
"FBD crown","two",3,7,14.51,0.02,29.74,6.61,0.04,0.03
"FBD crown","four",3,7,16.46,0.01,31.69,8.55,0.01,0.01
