"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_CN",1.22,0.31,0.69,1.92,"One","NCuniform_stem"
"MF_affects_CN",0,0,0,0,"One","NCuniform_stem"
"CN_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_MF",0.28,0.08,0.14,0.45,"One","NCuniform_stem"
"PG_affects_MF",-0.04,0.07,-0.16,0.08,"One","NCuniform_stem"
"CS_affects_CN",0,0,0,0,"Two","NCuniform_stem"
"MF_affects_CN",0,0,0,0,"Two","NCuniform_stem"
"CN_affects_CS",0.76,0.19,0.36,1.15,"Two","NCuniform_stem"
"CS_affects_MF",0.28,0.08,0.12,0.45,"Two","NCuniform_stem"
"PG_affects_MF",-0.04,0.07,-0.17,0.08,"Two","NCuniform_stem"
"CS_affects_CN",1.18,0.35,0.56,1.92,"Three","NCuniform_stem"
"MF_affects_CN",0.09,0.31,-0.57,0.69,"Three","NCuniform_stem"
"CN_affects_CS",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_MF",0.28,0.08,0.12,0.45,"Three","NCuniform_stem"
"PG_affects_MF",-0.04,0.07,-0.17,0.1,"Three","NCuniform_stem"
"CS_affects_CN",0,0,0,0,"Four","NCuniform_stem"
"MF_affects_CN",0.35,0.26,-0.14,0.95,"Four","NCuniform_stem"
"CN_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_MF",0.28,0.08,0.12,0.45,"Four","NCuniform_stem"
"PG_affects_MF",-0.04,0.07,-0.17,0.09,"Four","NCuniform_stem"
"CS_affects_CN",1.14,0.29,0.62,1.75,"One","NCuniform_crown"
"MF_affects_CN",0,0,0,0,"One","NCuniform_crown"
"CN_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_MF",0.22,0.08,0.07,0.37,"One","NCuniform_crown"
"PG_affects_MF",0,0.06,-0.12,0.11,"One","NCuniform_crown"
"CS_affects_CN",0,0,0,0,"Two","NCuniform_crown"
"MF_affects_CN",0,0,0,0,"Two","NCuniform_crown"
"CN_affects_CS",0.77,0.19,0.42,1.15,"Two","NCuniform_crown"
"CS_affects_MF",0.22,0.08,0.07,0.36,"Two","NCuniform_crown"
"PG_affects_MF",0,0.06,-0.12,0.12,"Two","NCuniform_crown"
"CS_affects_CN",1.1,0.34,0.47,1.79,"Three","NCuniform_crown"
"MF_affects_CN",0.09,0.31,-0.63,0.71,"Three","NCuniform_crown"
"CN_affects_CS",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_MF",0.22,0.08,0.06,0.36,"Three","NCuniform_crown"
"PG_affects_MF",0,0.06,-0.13,0.1,"Three","NCuniform_crown"
"CS_affects_CN",0,0,0,0,"Four","NCuniform_crown"
"MF_affects_CN",0.3,0.27,-0.3,0.86,"Four","NCuniform_crown"
"CN_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_MF",0.22,0.08,0.08,0.37,"Four","NCuniform_crown"
"PG_affects_MF",0,0.06,-0.11,0.11,"Four","NCuniform_crown"
"CS_affects_CN",1.23,0.31,0.65,1.82,"One","FBD_stem"
"MF_affects_CN",0,0,0,0,"One","FBD_stem"
"CN_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_MF",0.32,0.08,0.15,0.48,"One","FBD_stem"
"PG_affects_MF",-0.03,0.06,-0.15,0.09,"One","FBD_stem"
"CS_affects_CN",0,0,0,0,"Two","FBD_stem"
"MF_affects_CN",0,0,0,0,"Two","FBD_stem"
"CN_affects_CS",0.62,0.18,0.29,0.95,"Two","FBD_stem"
"CS_affects_MF",0.32,0.08,0.16,0.47,"Two","FBD_stem"
"PG_affects_MF",-0.03,0.06,-0.15,0.09,"Two","FBD_stem"
"CS_affects_CN",1.18,0.35,0.49,2.01,"Three","FBD_stem"
"MF_affects_CN",0.11,0.32,-0.52,0.73,"Three","FBD_stem"
"CN_affects_CS",0,0,0,0,"Three","FBD_stem"
"CS_affects_MF",0.32,0.08,0.15,0.45,"Three","FBD_stem"
"PG_affects_MF",-0.03,0.06,-0.16,0.09,"Three","FBD_stem"
"CS_affects_CN",0,0,0,0,"Four","FBD_stem"
"MF_affects_CN",0.27,0.27,-0.32,0.89,"Four","FBD_stem"
"CN_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_MF",0.32,0.08,0.16,0.48,"Four","FBD_stem"
"PG_affects_MF",-0.03,0.06,-0.15,0.1,"Four","FBD_stem"
"CS_affects_CN",1.15,0.3,0.64,1.77,"One","FBD_crown"
"MF_affects_CN",0,0,0,0,"One","FBD_crown"
"CN_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_MF",0.27,0.08,0.13,0.41,"One","FBD_crown"
"PG_affects_MF",-0.05,0.07,-0.19,0.08,"One","FBD_crown"
"CS_affects_CN",0,0,0,0,"Two","FBD_crown"
