"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","one",3,7,3.01,0.81,18.31,0,1,0.73
"NC uniform stem","three",2,8,3.04,0.55,20.73,2.43,0.3,0.22
"NC uniform stem","two",3,7,8.45,0.21,23.75,5.44,0.07,0.05
"NC uniform stem","four",3,7,16.24,0.01,31.55,13.24,0,0
"NC uniform crown","one",3,7,2.95,0.82,18.25,0,1,0.74
"NC uniform crown","three",2,8,2.85,0.58,20.54,2.29,0.32,0.24
"NC uniform crown","two",3,7,9.84,0.13,25.15,6.9,0.03,0.02
"NC uniform crown","four",3,7,15.38,0.02,30.68,12.43,0,0
"FBD stem","one",3,7,2.97,0.81,18.27,0,1,0.54
"FBD stem","three",2,8,2.06,0.72,19.76,1.48,0.48,0.26
"FBD stem","two",3,7,4.87,0.56,20.18,1.9,0.39,0.21
"FBD stem","four",3,7,15.89,0.01,31.19,12.92,0,0
"FBD crown","one",3,7,2.18,0.9,17.48,0,1,0.67
"FBD crown","three",2,8,2.11,0.72,19.8,2.32,0.31,0.21
"FBD crown","two",3,7,5.52,0.48,20.82,3.34,0.19,0.13
"FBD crown","four",3,7,15.93,0.01,31.23,13.75,0,0
