"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_SV",0.29,0.12,0.05,0.53,"One","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"One","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_MF",0,0.19,-0.63,0.76,"One","NCuniform_stem"
"PG_affects_MF",0,0.88,-13.28,2.2,"One","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"SV_affects_CS",0.18,0.09,0,0.39,"Two","NCuniform_stem"
"CS_affects_MF",0,0.19,-0.58,0.8,"Two","NCuniform_stem"
"PG_affects_MF",0,0.88,-13.54,1.86,"Two","NCuniform_stem"
"CS_affects_SV",0.31,0.13,0.08,0.56,"Three","NCuniform_stem"
"MF_affects_SV",-0.19,0.36,-0.88,0.45,"Three","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_MF",0,0.19,-0.66,1,"Three","NCuniform_stem"
"PG_affects_MF",0,0.88,-12.64,2.28,"Three","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_stem"
"MF_affects_SV",0.04,0.36,-0.67,0.77,"Four","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_MF",0,0.19,-0.66,0.98,"Four","NCuniform_stem"
"PG_affects_MF",0,0.88,-12.37,2.16,"Four","NCuniform_stem"
"CS_affects_SV",0.29,0.12,0.05,0.5,"One","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"One","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_MF",0.39,0.32,-0.14,1.24,"One","NCuniform_crown"
"PG_affects_MF",-0.21,1.28,-13.21,2.02,"One","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"SV_affects_CS",0.19,0.09,0.02,0.36,"Two","NCuniform_crown"
"CS_affects_MF",0.39,0.32,-0.2,1.39,"Two","NCuniform_crown"
"PG_affects_MF",-0.21,1.28,-10.51,2.41,"Two","NCuniform_crown"
"CS_affects_SV",0.31,0.13,0.06,0.56,"Three","NCuniform_crown"
"MF_affects_SV",-0.19,0.36,-0.84,0.51,"Three","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_MF",0.39,0.32,-0.16,1.53,"Three","NCuniform_crown"
"PG_affects_MF",-0.21,1.28,-12.48,2.39,"Three","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_crown"
"MF_affects_SV",0.04,0.36,-0.72,0.69,"Four","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_MF",0.39,0.32,-0.19,1.27,"Four","NCuniform_crown"
"PG_affects_MF",-0.21,1.28,-11.13,2.18,"Four","NCuniform_crown"
"CS_affects_SV",0.29,0.12,0.05,0.53,"One","FBD_stem"
"MF_affects_SV",0,0,0,0,"One","FBD_stem"
"SV_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_MF",0.52,0.37,-0.15,1.67,"One","FBD_stem"
"PG_affects_MF",-0.24,1.34,-11.14,2.26,"One","FBD_stem"
"CS_affects_SV",0,0,0,0,"Two","FBD_stem"
"MF_affects_SV",0,0,0,0,"Two","FBD_stem"
"SV_affects_CS",0.15,0.08,-0.02,0.32,"Two","FBD_stem"
"CS_affects_MF",0.52,0.37,-0.1,1.66,"Two","FBD_stem"
"PG_affects_MF",-0.24,1.34,-11.1,1.93,"Two","FBD_stem"
"CS_affects_SV",0.31,0.13,0.09,0.56,"Three","FBD_stem"
"MF_affects_SV",-0.19,0.36,-0.88,0.59,"Three","FBD_stem"
"SV_affects_CS",0,0,0,0,"Three","FBD_stem"
"CS_affects_MF",0.52,0.37,-0.17,1.74,"Three","FBD_stem"
"PG_affects_MF",-0.24,1.34,-11.52,2.07,"Three","FBD_stem"
"CS_affects_SV",0,0,0,0,"Four","FBD_stem"
"MF_affects_SV",0.04,0.36,-0.7,0.72,"Four","FBD_stem"
"SV_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_MF",0.52,0.37,-0.12,1.61,"Four","FBD_stem"
"PG_affects_MF",-0.24,1.34,-11.48,2.08,"Four","FBD_stem"
"CS_affects_SV",0.29,0.12,0.07,0.54,"One","FBD_crown"
"MF_affects_SV",0,0,0,0,"One","FBD_crown"
"SV_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_MF",0.54,0.37,-0.1,1.83,"One","FBD_crown"
"PG_affects_MF",-0.22,1.35,-13.02,2.2,"One","FBD_crown"
"CS_affects_SV",0,0,0,0,"Two","FBD_crown"
"MF_affects_SV",0,0,0,0,"Two","FBD_crown"
"SV_affects_CS",0.17,0.09,-0.01,0.35,"Two","FBD_crown"
"CS_affects_MF",0.54,0.37,-0.09,1.62,"Two","FBD_crown"
"PG_affects_MF",-0.22,1.35,-14.11,2.06,"Two","FBD_crown"
"CS_affects_SV",0.31,0.13,0.06,0.54,"Three","FBD_crown"
"MF_affects_SV",-0.19,0.36,-0.9,0.48,"Three","FBD_crown"
"SV_affects_CS",0,0,0,0,"Three","FBD_crown"
"CS_affects_MF",0.54,0.37,-0.07,2,"Three","FBD_crown"
"PG_affects_MF",-0.22,1.35,-12.39,2.21,"Three","FBD_crown"
"CS_affects_SV",0,0,0,0,"Four","FBD_crown"
"MF_affects_SV",0.04,0.36,-0.64,0.75,"Four","FBD_crown"
"SV_affects_CS",0,0,0,0,"Four","FBD_crown"
"CS_affects_MF",0.54,0.37,-0.09,1.65,"Four","FBD_crown"
"PG_affects_MF",-0.22,1.35,-12.82,1.96,"Four","FBD_crown"
