"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","two",3,7,10,0.12,26.07,0,1,0.51
"NC uniform stem","one",3,7,11,0.09,27.08,1,0.61,0.31
"NC uniform stem","three",2,8,9.76,0.04,28.47,2.4,0.3,0.15
"NC uniform stem","four",3,7,15.35,0.02,31.42,5.35,0.07,0.03
"NC uniform crown","two",3,7,9.22,0.16,25.3,0,1,0.61
"NC uniform crown","one",3,7,11.05,0.09,27.13,1.83,0.4,0.24
"NC uniform crown","three",2,8,9.81,0.04,28.53,3.23,0.2,0.12
"NC uniform crown","four",3,7,15.4,0.02,31.47,6.18,0.05,0.03
"FBD stem","two",3,7,8.7,0.19,24.77,0,1,0.65
"FBD stem","one",3,7,10.88,0.09,26.96,2.18,0.34,0.22
"FBD stem","three",2,8,9.64,0.05,28.35,3.58,0.17,0.11
"FBD stem","four",3,7,15.23,0.02,31.3,6.53,0.04,0.02
"FBD crown","two",3,7,8.87,0.18,24.94,0,1,0.64
"FBD crown","one",3,7,10.95,0.09,27.03,2.08,0.35,0.22
"FBD crown","three",2,8,9.71,0.05,28.43,3.48,0.18,0.11
"FBD crown","four",3,7,15.3,0.02,31.37,6.43,0.04,0.03
