"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_SV",0.29,0.13,0.03,0.54,"One","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"One","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_MF",0.19,0.09,0.02,0.37,"One","NCuniform_stem"
"PG_affects_MF",-0.05,0.06,-0.18,0.07,"One","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_stem"
"SV_affects_CS",0.18,0.09,-0.01,0.37,"Two","NCuniform_stem"
"CS_affects_MF",0.19,0.09,0.01,0.35,"Two","NCuniform_stem"
"PG_affects_MF",-0.05,0.06,-0.17,0.07,"Two","NCuniform_stem"
"CS_affects_SV",0.34,0.14,0.07,0.61,"Three","NCuniform_stem"
"MF_affects_SV",-0.13,0.14,-0.41,0.13,"Three","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_MF",0.19,0.09,0.01,0.36,"Three","NCuniform_stem"
"PG_affects_MF",-0.05,0.06,-0.17,0.08,"Three","NCuniform_stem"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_stem"
"MF_affects_SV",0.01,0.13,-0.24,0.26,"Four","NCuniform_stem"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_MF",0.19,0.09,0.02,0.36,"Four","NCuniform_stem"
"PG_affects_MF",-0.05,0.06,-0.17,0.07,"Four","NCuniform_stem"
"CS_affects_SV",0.29,0.13,0.03,0.53,"One","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"One","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_MF",0.15,0.06,0.02,0.26,"One","NCuniform_crown"
"PG_affects_MF",-0.01,0.05,-0.1,0.09,"One","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"MF_affects_SV",0,0,0,0,"Two","NCuniform_crown"
"SV_affects_CS",0.19,0.09,0.03,0.39,"Two","NCuniform_crown"
"CS_affects_MF",0.15,0.06,0.02,0.28,"Two","NCuniform_crown"
"PG_affects_MF",-0.01,0.05,-0.11,0.09,"Two","NCuniform_crown"
"CS_affects_SV",0.34,0.14,0.08,0.61,"Three","NCuniform_crown"
"MF_affects_SV",-0.13,0.14,-0.39,0.11,"Three","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_MF",0.15,0.06,0.04,0.27,"Three","NCuniform_crown"
"PG_affects_MF",-0.01,0.05,-0.1,0.09,"Three","NCuniform_crown"
"CS_affects_SV",0,0,0,0,"Four","NCuniform_crown"
"MF_affects_SV",0.01,0.13,-0.25,0.27,"Four","NCuniform_crown"
"SV_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_MF",0.15,0.06,0.02,0.27,"Four","NCuniform_crown"
"PG_affects_MF",-0.01,0.05,-0.11,0.1,"Four","NCuniform_crown"
"CS_affects_SV",0.29,0.13,0.01,0.52,"One","FBD_stem"
"MF_affects_SV",0,0,0,0,"One","FBD_stem"
"SV_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_MF",0.21,0.08,0.05,0.37,"One","FBD_stem"
"PG_affects_MF",-0.04,0.06,-0.15,0.07,"One","FBD_stem"
"CS_affects_SV",0,0,0,0,"Two","FBD_stem"
"MF_affects_SV",0,0,0,0,"Two","FBD_stem"
"SV_affects_CS",0.15,0.08,-0.01,0.31,"Two","FBD_stem"
"CS_affects_MF",0.21,0.08,0.06,0.36,"Two","FBD_stem"
"PG_affects_MF",-0.04,0.06,-0.16,0.07,"Two","FBD_stem"
"CS_affects_SV",0.34,0.14,0.07,0.63,"Three","FBD_stem"
"MF_affects_SV",-0.13,0.14,-0.41,0.13,"Three","FBD_stem"
"SV_affects_CS",0,0,0,0,"Three","FBD_stem"
"CS_affects_MF",0.21,0.08,0.06,0.4,"Three","FBD_stem"
"PG_affects_MF",-0.04,0.06,-0.15,0.09,"Three","FBD_stem"
"CS_affects_SV",0,0,0,0,"Four","FBD_stem"
"MF_affects_SV",0.01,0.13,-0.26,0.26,"Four","FBD_stem"
"SV_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_MF",0.21,0.08,0.04,0.36,"Four","FBD_stem"
"PG_affects_MF",-0.04,0.06,-0.16,0.09,"Four","FBD_stem"
"CS_affects_SV",0.29,0.13,0.04,0.56,"One","FBD_crown"
"MF_affects_SV",0,0,0,0,"One","FBD_crown"
"SV_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_MF",0.21,0.09,0.04,0.37,"One","FBD_crown"
"PG_affects_MF",-0.03,0.07,-0.17,0.12,"One","FBD_crown"
"CS_affects_SV",0,0,0,0,"Two","FBD_crown"
"MF_affects_SV",0,0,0,0,"Two","FBD_crown"
"SV_affects_CS",0.17,0.09,0,0.35,"Two","FBD_crown"
"CS_affects_MF",0.21,0.09,0.04,0.38,"Two","FBD_crown"
"PG_affects_MF",-0.03,0.07,-0.16,0.12,"Two","FBD_crown"
"CS_affects_SV",0.34,0.14,0.06,0.59,"Three","FBD_crown"
"MF_affects_SV",-0.13,0.14,-0.4,0.13,"Three","FBD_crown"
