"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","two",3,7,2.12,0.91,18.27,0,1,0.73
"NC uniform stem","one",3,7,5.42,0.49,21.57,3.3,0.19,0.14
"NC uniform stem","three",2,8,3.3,0.51,22.12,3.85,0.15,0.11
"NC uniform stem","four",3,7,9.36,0.15,25.51,7.24,0.03,0.02
"NC uniform crown","two",3,7,2.64,0.85,18.79,0,1,0.72
"NC uniform crown","one",3,7,5.78,0.45,21.94,3.14,0.21,0.15
"NC uniform crown","three",2,8,3.66,0.45,22.48,3.69,0.16,0.11
"NC uniform crown","four",3,7,9.72,0.14,25.87,7.08,0.03,0.02
"FBD stem","two",3,7,1.82,0.94,17.97,0,1,0.71
"FBD stem","one",3,7,4.93,0.55,21.09,3.11,0.21,0.15
"FBD stem","three",2,8,2.81,0.59,21.63,3.66,0.16,0.11
"FBD stem","four",3,7,8.87,0.18,25.03,7.05,0.03,0.02
"FBD crown","two",3,7,2.03,0.92,18.18,0,1,0.75
"FBD crown","one",3,7,5.54,0.48,21.69,3.51,0.17,0.13
"FBD crown","three",2,8,3.41,0.49,22.24,4.05,0.13,0.1
"FBD crown","four",3,7,9.48,0.15,25.63,7.45,0.02,0.02
